Evaluation_ID,Country,Region,Year,Programme,Evaluation_Type,Status,Completion_Pct,Budget_USD,External_Evaluator,N_Recommendations,Recommendations_Implemented,Implementation_Rate_Pct,Quality_Score_1to5,Findings_Shared_With_NS,Sector
EVAL-2021-017,Senegal,West Africa,2021,WASH for All,Mid-term,Findings Disseminated,100,44335,True,9,1,11.1,4.5,True,Livelihoods
EVAL-2023-018,Cameroon,Central Africa,2023,Climate Resilience,After-Action Review,Completed,67,18863,True,9,0,0.0,2.7,True,Protection
EVAL-2025-019,Morocco,North Africa,2025,Food Security Initiative,Real-time,In Progress,47,75236,False,0,0,0.0,3.9,False,Migration
EVAL-2025-020,South Africa,Southern Africa,2025,WASH for All,After-Action Review,Findings Disseminated,100,54724,True,5,1,20.0,3.2,True,Livelihoods
EVAL-2023-021,Mozambique,Southern Africa,2023,WASH for All,End-line,Planned,0,78071,True,0,0,0.0,,True,Health
EVAL-2024-022,Mali,West Africa,2024,Food Security Initiative,After-Action Review,In Progress,25,10716,True,0,0,0.0,4.8,False,Food Security
EVAL-2024-023,Sudan,North Africa,2024,Food Security Initiative,Mid-term,In Progress,40,75822,False,0,0,0.0,3.6,False,Livelihoods
EVAL-2024-024,Ethiopia,East Africa,2024,Youth & Volunteerism,After-Action Review,In Progress,27,46754,False,0,0,0.0,4.7,False,Shelter
EVAL-2022-025,Kenya,East Africa,2022,Migration & Displacement,Mid-term,Planned,0,69443,True,0,0,0.0,,True,Protection
EVAL-2023-026,Kenya,East Africa,2023,Community Health,Mid-term,In Progress,20,7382,False,0,0,0.0,3.2,True,Livelihoods
EVAL-2024-027,Mozambique,Southern Africa,2024,Community Health,Mid-term,Planned,0,72653,True,0,0,0.0,,True,Livelihoods
EVAL-2021-028,Chad,Central Africa,2021,Youth & Volunteerism,Real-time,Planned,0,79411,True,0,0,0.0,,True,Shelter
EVAL-2024-029,Ghana,West Africa,2024,Community Health,Impact,Findings Disseminated,100,55882,True,14,11,78.6,3.5,False,Livelihoods
EVAL-2025-030,Uganda,East Africa,2025,Youth & Volunteerism,After-Action Review,Findings Disseminated,100,37105,True,10,4,40.0,4.9,True,Health
EVAL-2025-031,Morocco,North Africa,2025,Emergency Response,After-Action Review,Completed,74,17685,True,6,3,50.0,3.0,False,WASH
EVAL-2021-032,Zambia,Southern Africa,2021,Urban Resilience,Real-time,Completed,65,38965,False,13,9,69.2,3.9,True,Livelihoods
EVAL-2022-033,Kenya,East Africa,2022,Migration & Displacement,Mid-term,Completed,60,47459,True,4,2,50.0,3.5,False,Disaster Risk Reduction
EVAL-2024-034,Kenya,East Africa,2024,Food Security Initiative,Impact,Completed,84,42143,False,12,9,75.0,4.4,False,Disaster Risk Reduction
EVAL-2024-035,Somalia,East Africa,2024,Climate Resilience,Real-time,Planned,0,39995,True,0,0,0.0,,True,WASH
EVAL-2025-036,Somalia,East Africa,2025,Food Security Initiative,Mid-term,In Progress,52,5147,True,0,0,0.0,2.8,False,Shelter
EVAL-2021-037,Zambia,Southern Africa,2021,Food Security Initiative,End-line,Planned,0,47567,True,0,0,0.0,,False,Food Security
EVAL-2023-038,Ghana,West Africa,2023,WASH for All,Impact,Completed,70,7280,True,6,2,33.3,3.6,False,WASH
EVAL-2022-039,Sudan,North Africa,2022,Emergency Response,Real-time,In Progress,55,76952,True,0,0,0.0,4.2,False,WASH
EVAL-2022-040,DRC,Central Africa,2022,Youth & Volunteerism,End-line,Planned,0,19997,True,0,0,0.0,,True,Migration
EVAL-2025-041,Nigeria,West Africa,2025,Youth & Volunteerism,Mid-term,Planned,0,58529,True,0,0,0.0,,True,WASH
EVAL-2022-042,Egypt,North Africa,2022,Community Health,Mid-term,In Progress,49,16761,True,0,0,0.0,3.5,True,Shelter
EVAL-2025-043,South Africa,Southern Africa,2025,Food Security Initiative,Real-time,Completed,65,74776,False,5,0,0.0,2.6,True,Migration
EVAL-2024-044,South Africa,Southern Africa,2024,Youth & Volunteerism,End-line,In Progress,36,11029,False,0,0,0.0,4.3,True,Shelter
EVAL-2024-045,South Africa,Southern Africa,2024,Emergency Response,Mid-term,Completed,84,48633,True,3,0,0.0,3.8,True,Protection
EVAL-2024-046,Ghana,West Africa,2024,Migration & Displacement,End-line,Findings Disseminated,100,50838,False,5,2,40.0,2.5,True,Migration
EVAL-2024-047,Egypt,North Africa,2024,Climate Resilience,Mid-term,In Progress,40,65142,True,0,0,0.0,4.0,False,Migration
EVAL-2021-048,Zambia,Southern Africa,2021,Youth & Volunteerism,Impact,Findings Disseminated,100,51017,False,14,12,85.7,4.8,True,Shelter
EVAL-2023-049,Uganda,East Africa,2023,WASH for All,After-Action Review,Findings Disseminated,100,71930,False,9,8,88.9,2.8,False,Migration
EVAL-2024-050,Uganda,East Africa,2024,Urban Resilience,Mid-term,Planned,0,6971,True,0,0,0.0,,False,WASH
EVAL-2025-051,Mali,West Africa,2025,Climate Resilience,After-Action Review,Findings Disseminated,100,35840,False,7,2,28.6,4.0,False,Food Security
EVAL-2023-052,Ethiopia,East Africa,2023,Youth & Volunteerism,End-line,Findings Disseminated,100,76786,True,14,12,85.7,4.3,True,Shelter
EVAL-2021-053,DRC,Central Africa,2021,Urban Resilience,Impact,Completed,98,26446,False,14,12,85.7,2.7,False,Shelter
EVAL-2021-054,Chad,Central Africa,2021,Emergency Response,End-line,Completed,65,69626,True,15,3,20.0,2.6,True,Shelter
EVAL-2024-055,Senegal,West Africa,2024,Migration & Displacement,Real-time,Findings Disseminated,100,49218,False,6,2,33.3,3.7,True,WASH
EVAL-2025-056,Zambia,Southern Africa,2025,Youth & Volunteerism,End-line,Findings Disseminated,100,58104,False,11,0,0.0,4.5,True,Protection
EVAL-2021-057,Tanzania,East Africa,2021,Urban Resilience,Real-time,In Progress,25,45763,True,0,0,0.0,2.9,False,WASH
EVAL-2022-058,Senegal,West Africa,2022,Community Health,Real-time,Planned,0,45757,False,0,0,0.0,,True,Food Security
EVAL-2024-059,Somalia,East Africa,2024,Migration & Displacement,Real-time,Findings Disseminated,100,26385,True,3,0,0.0,4.6,True,WASH
EVAL-2025-060,Mozambique,Southern Africa,2025,Emergency Response,After-Action Review,Planned,0,41178,True,0,0,0.0,,True,Food Security
EVAL-2023-061,Zimbabwe,Southern Africa,2023,Emergency Response,Real-time,In Progress,26,66162,False,0,0,0.0,4.1,True,WASH
EVAL-2024-062,Somalia,East Africa,2024,Emergency Response,End-line,Planned,0,42341,False,0,0,0.0,,False,Protection
EVAL-2021-063,Tanzania,East Africa,2021,Migration & Displacement,Real-time,In Progress,48,49262,True,0,0,0.0,3.3,True,Health
EVAL-2024-064,Nigeria,West Africa,2024,Community Health,After-Action Review,Findings Disseminated,100,66823,True,11,11,100.0,3.8,False,Health
EVAL-2022-065,Mozambique,Southern Africa,2022,Community Health,Real-time,Findings Disseminated,100,77420,True,4,3,75.0,4.9,False,Shelter
EVAL-2022-066,Ghana,West Africa,2022,WASH for All,After-Action Review,Findings Disseminated,100,20809,True,7,7,100.0,3.0,False,Protection
EVAL-2022-067,Ethiopia,East Africa,2022,Community Health,Impact,Findings Disseminated,100,28863,False,11,1,9.1,3.7,True,Protection
EVAL-2023-068,Mozambique,Southern Africa,2023,Climate Resilience,After-Action Review,Planned,0,38671,False,0,0,0.0,,True,Shelter
EVAL-2022-069,Chad,Central Africa,2022,Community Health,Mid-term,In Progress,27,55390,False,0,0,0.0,4.1,False,Migration
EVAL-2023-070,Chad,Central Africa,2023,WASH for All,Impact,Planned,0,51728,True,0,0,0.0,,False,WASH
EVAL-2022-071,Morocco,North Africa,2022,Community Health,End-line,In Progress,25,20130,False,0,0,0.0,2.8,False,Shelter
EVAL-2024-072,Uganda,East Africa,2024,Migration & Displacement,Real-time,Findings Disseminated,100,52707,True,3,1,33.3,2.6,False,Shelter
EVAL-2023-073,Ghana,West Africa,2023,Food Security Initiative,Real-time,In Progress,56,76018,False,0,0,0.0,2.5,True,Food Security
EVAL-2021-074,Kenya,East Africa,2021,Emergency Response,End-line,Planned,0,7027,False,0,0,0.0,,True,Health
EVAL-2022-075,Tanzania,East Africa,2022,WASH for All,End-line,Planned,0,52805,False,0,0,0.0,,False,Disaster Risk Reduction
EVAL-2022-076,Senegal,West Africa,2022,Emergency Response,After-Action Review,Completed,74,5411,False,7,1,14.3,3.3,True,WASH
EVAL-2023-077,Zimbabwe,Southern Africa,2023,Youth & Volunteerism,Impact,Completed,69,21027,False,10,8,80.0,2.7,False,Food Security
EVAL-2025-078,DRC,Central Africa,2025,Emergency Response,End-line,Planned,0,63856,False,0,0,0.0,,False,WASH
EVAL-2022-079,Senegal,West Africa,2022,Emergency Response,After-Action Review,Completed,96,49743,False,10,8,80.0,4.5,False,Shelter
EVAL-2024-080,Ethiopia,East Africa,2024,Youth & Volunteerism,After-Action Review,Findings Disseminated,100,7472,True,5,1,20.0,5.0,False,Livelihoods
EVAL-2024-081,Cameroon,Central Africa,2024,WASH for All,End-line,Findings Disseminated,100,23526,True,15,14,93.3,2.7,False,WASH
EVAL-2024-082,Tanzania,East Africa,2024,WASH for All,Real-time,Findings Disseminated,100,21056,False,6,0,0.0,3.6,False,Livelihoods
EVAL-2024-083,Egypt,North Africa,2024,Community Health,Mid-term,Findings Disseminated,100,33378,True,13,11,84.6,2.6,False,Protection
EVAL-2023-084,Senegal,West Africa,2023,WASH for All,After-Action Review,Planned,0,43863,True,0,0,0.0,,False,Protection
EVAL-2024-085,Nigeria,West Africa,2024,Climate Resilience,Impact,Planned,0,48559,False,0,0,0.0,,False,Disaster Risk Reduction
EVAL-2022-086,Mozambique,Southern Africa,2022,Youth & Volunteerism,Mid-term,Completed,62,37856,True,10,6,60.0,2.8,True,Migration
EVAL-2024-087,Ghana,West Africa,2024,Urban Resilience,Mid-term,Findings Disseminated,100,32295,False,4,1,25.0,3.3,False,Disaster Risk Reduction
EVAL-2022-088,Cameroon,Central Africa,2022,WASH for All,After-Action Review,In Progress,33,11831,False,0,0,0.0,3.5,True,Livelihoods
EVAL-2025-089,Zambia,Southern Africa,2025,Urban Resilience,Impact,In Progress,31,53564,True,0,0,0.0,4.8,False,Health
EVAL-2023-090,Kenya,East Africa,2023,Youth & Volunteerism,After-Action Review,In Progress,50,15984,False,0,0,0.0,3.5,False,Disaster Risk Reduction
EVAL-2023-091,Kenya,East Africa,2023,Youth & Volunteerism,End-line,In Progress,63,64012,True,0,0,0.0,3.7,False,Migration
EVAL-2024-092,DRC,Central Africa,2024,Community Health,End-line,Completed,70,36619,False,9,1,11.1,3.1,True,Shelter
EVAL-2024-093,Ghana,West Africa,2024,Climate Resilience,Impact,In Progress,49,12816,True,0,0,0.0,2.5,True,Shelter
EVAL-2024-094,Tanzania,East Africa,2024,Urban Resilience,Real-time,Planned,0,69237,False,0,0,0.0,,True,Migration
EVAL-2021-095,South Africa,Southern Africa,2021,Climate Resilience,Mid-term,Planned,0,76197,False,0,0,0.0,,True,Livelihoods
EVAL-2023-096,Egypt,North Africa,2023,Climate Resilience,Impact,In Progress,22,18574,False,0,0,0.0,4.7,True,Food Security
EVAL-2025-097,Nigeria,West Africa,2025,Youth & Volunteerism,Mid-term,Planned,0,79532,True,0,0,0.0,,True,Livelihoods
EVAL-2022-098,Chad,Central Africa,2022,Youth & Volunteerism,End-line,Findings Disseminated,100,76613,True,4,0,0.0,2.7,True,Migration
EVAL-2024-099,Kenya,East Africa,2024,Migration & Displacement,Mid-term,Planned,0,63412,True,0,0,0.0,,False,Health
EVAL-2021-100,Mali,West Africa,2021,Youth & Volunteerism,After-Action Review,In Progress,33,65140,True,0,0,0.0,4.9,False,Livelihoods
EVAL-2024-101,Morocco,North Africa,2024,Climate Resilience,Mid-term,Planned,0,78819,False,0,0,0.0,,False,Disaster Risk Reduction
EVAL-2022-102,Egypt,North Africa,2022,Youth & Volunteerism,Real-time,In Progress,56,47611,False,0,0,0.0,2.8,True,Shelter
EVAL-2023-103,Sudan,North Africa,2023,Migration & Displacement,After-Action Review,Completed,66,34473,True,14,9,64.3,4.0,False,Shelter
EVAL-2024-104,Nigeria,West Africa,2024,Emergency Response,After-Action Review,Planned,0,55805,True,0,0,0.0,,False,Health
EVAL-2023-105,Morocco,North Africa,2023,Youth & Volunteerism,Impact,Planned,0,60021,False,0,0,0.0,,False,Protection
EVAL-2022-106,Mozambique,Southern Africa,2022,WASH for All,Mid-term,Completed,82,39704,False,6,4,66.7,5.0,True,Migration
EVAL-2021-107,Zambia,Southern Africa,2021,Youth & Volunteerism,After-Action Review,Findings Disseminated,100,69901,False,7,0,0.0,2.8,False,Health
EVAL-2022-108,Ethiopia,East Africa,2022,Climate Resilience,After-Action Review,Planned,0,11089,True,0,0,0.0,,True,WASH
EVAL-2023-109,Mali,West Africa,2023,Food Security Initiative,Mid-term,Planned,0,76069,True,0,0,0.0,,True,Shelter
EVAL-2022-110,Cameroon,Central Africa,2022,Community Health,Mid-term,In Progress,33,26990,True,0,0,0.0,3.6,False,WASH
EVAL-2021-111,Somalia,East Africa,2021,Migration & Displacement,End-line,Completed,82,49255,False,3,0,0.0,4.5,False,Health
EVAL-2022-112,Chad,Central Africa,2022,Migration & Displacement,After-Action Review,Completed,73,30263,True,12,3,25.0,2.6,False,Food Security
EVAL-2024-113,Nigeria,West Africa,2024,Community Health,After-Action Review,Findings Disseminated,100,50458,True,5,0,0.0,4.2,True,Shelter
EVAL-2023-114,Ivory Coast,West Africa,2023,WASH for All,Real-time,In Progress,57,48691,False,0,0,0.0,2.7,False,Shelter
EVAL-2021-115,Tanzania,East Africa,2021,Migration & Displacement,Mid-term,In Progress,51,14863,False,0,0,0.0,3.1,False,Livelihoods
EVAL-2025-116,Cameroon,Central Africa,2025,Youth & Volunteerism,End-line,In Progress,24,28888,False,0,0,0.0,2.9,True,Food Security
EVAL-2024-117,DRC,Central Africa,2024,Climate Resilience,After-Action Review,Planned,0,56842,False,0,0,0.0,,True,Food Security
EVAL-2021-118,Zimbabwe,Southern Africa,2021,Youth & Volunteerism,End-line,In Progress,45,40922,False,0,0,0.0,4.8,False,Shelter
EVAL-2025-119,Chad,Central Africa,2025,Community Health,End-line,Findings Disseminated,100,60800,True,4,1,25.0,3.0,False,Food Security
EVAL-2021-120,Kenya,East Africa,2021,Urban Resilience,After-Action Review,In Progress,62,23013,False,0,0,0.0,2.6,True,Food Security
